Headline
Swiss parliament lifts ban on new nuclear power plants (bluewin.ch)
Emacs 31 Is Around the Corner: The Changes I'm Daily Driving (rahuljuliato.com)
What was nice about the UI of Windows 2000 (movq.de)
I found 10k GitHub repositories distributing Trojan malware (orchidfiles.com)
"Ubiquiti: Enterprise NAS, Built on ZFS (ui.com)"
A website that lists websites to submit your website to (submission.directory)
Launch HN: TesterArmy (YC P26) – Agents that test web and mobile apps (tester.army)
Has W Social switched to closed source? (elenarossini.com)
Dwarf Fortress in the Browser (github.com/sessa93)
Hospitals and universities repurposing drugs at 90% lower cost (kcl.ac.uk)
Midjourney Medical (midjourney.com)
Advanced Compilers: The Self-Guided Online Course (cornell.edu)
How Alberta Eradicated Rats (worksinprogress.co)
TerraPower in Deal with Meta for Eight Natrium 345 MW Advanced Nuclear Plants (neutronbytes.com)
Modos Color Monitor Pushes E-Paper Displays Further (ieee.org)
Show HN: 10x better performance from the Coding Harnesses with LLM-wiki (llm-wiki.net)
DeepSeek Introduces Vision (deepseek.com)
Microsoft new Outlook takes 10 seconds to do what Outlook Classic does instantly (windowslatest.com)
"Local Qwen isn't a worse Opus, it's a different tool (alexellis.io)"
.gitignore Isn't the Only Way to Ignore Files in Git (nelson.cloud)
We built a persistent agent memory layer on Elasticsearch with 0.89 recall (elastic.co)
Unity vs. Floating Point (aras-p.info)
Migrate from OpenClaw (nousresearch.com)
Image Toolbox (T8RIN) (github.com/t8rin)
Vinyl Cache and Varnish Cache (vinyl-cache.org)
Seven Perfect Shuffles Randomize a Deck of Cards. But How Many Sloppy Ones? (quantamagazine.org)
Show HN: Gerrymandle - Daily puzzle game where you redraw electoral districts (gerrymandle.cc)
"US holds off blacklisting DeepSeek, more than 100 firms deemed security risks (reuters.com)"
AMD silently removes memory encryption from consumer Ryzen CPUs (tomshardware.com)
I hate compilers (xeiaso.net)
